,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,81867.40678077769,81794.37615829188,73.03062248580261,True,
uni_inter,-22.43375837309675,-22.43375837309675,-22.43375837309675,,False
fdiff_ind,1270.2854875796713,1174.5460667508014,95.73942082887002,True,
fdiff_inter,0.30688979753417467,0.30688979753417467,0.30688979753417467,,True
fmax_ind,78842.9505653574,78750.29724794421,92.65331741318798,True,
fmax_inter,-2.7883453601684898,-2.7883453601684898,-2.7883453601684898,,False
fsum_ind,75008.67916298268,74914.52825049793,94.15091248475395,True,
fsum_inter,-1.251570871804434,-1.251570871804434,-1.251570871804434,,False
