,0,1
ind,200.3902295080479,163244.19889493086
uni,32.0,1632.0
fdiff,2.3316280181306155,140014.394320606
fmax,5.570593076162619,4709.835682507892
fsum,12.746610458353718,2150.9308739990292
buc_eq,200.36007252929264,40799.99999999999
buc_con,124.15992751259462,12427.222162950287
buc_qeq,43.90508578543975,2655.902778133753
buc_qsd,33.95922387519873,1920.7717826476987
ind_noW1,,163246.68976712384
uni_noW1,,2014.8148148148148
fdiff_noW1,,2108.7201505587914
fmax_noW1,,2786.0654420851224
fsum_noW1,,2105.1645223419705
buc_eq_noW1,,4533.333333333332
buc_con_noW1,,18134.94831188605
buc_qeq_noW1,,3036.6890218712065
buc_qsd_noW1,,2188.1375579299306
