,0,1
ind,163199.99999999997,200.3915135923307
uni,1719.1616602029305,24.109263100731248
fdiff,166138.27776158246,2.301560157922399
fmax,4725.230996776139,5.555604055348839
fsum,10351.784539313136,3.7516424839083555
buc_eq,163199.99999999997,2.473144154754226
buc_con,104791.975334695,22.086530636831856
buc_qeq,106392.30343870774,2.5204883243577267
buc_qsd,75551.47735579197,2.4708832076408584
ind_noW1,,200.49189846176884
uni_noW1,,2.4694702507537087
fdiff_noW1,,2.5328981228244065
fmax_noW1,,2.530349549620378
fsum_noW1,,2.494110865608277
buc_eq_noW1,,2.474181698584918
buc_con_noW1,,22.261549896211363
buc_qeq_noW1,,2.544836096910981
buc_qsd_noW1,,2.4732122203658955
