,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,3296.407809929129,3105.5779263367263,190.82988359240292,True,
uni_inter,-7.108398887632852,-7.108398887632852,-7.108398887632852,,False
fdiff_ind,396.1334410332306,198.19282663717104,197.94061439605954,True,
fdiff_inter,0.058213213898174576,0.058213213898174576,0.058213213898174576,,True
fmax_ind,3272.523943578347,3079.652033722528,192.8719098558191,True,
fmax_inter,-5.016924233252048,-5.016924233252048,-5.016924233252048,,False
fsum_ind,3110.971931637673,2914.885235275059,196.08669636261422,True,
fsum_inter,-1.8254800067218295,-1.8254800067218295,-1.8254800067218295,,False
buc_eq_ind,197.9339846746168,197.9339846746168,0.0,False,
buc_eq_inter,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,,False
buc_con_ind,376.94042447327666,198.6433990880587,178.29702538521798,True,
buc_con_inter,0.1539153280826504,0.1539153280826504,0.1539153280826504,,True
buc_qeq_ind,400.88196329751077,202.94354729710858,197.93841600040216,True,
buc_qeq_inter,0.0044313261744242105,0.0044313261744242105,0.0044313261744242105,,True
buc_qsd_ind,448.99334109179404,251.05712413610127,197.93621695569274,True,
buc_qsd_inter,0.0019520238559027625,0.0019520238559027625,0.0019520238559027625,,True
