,0,1
ind,49.999999999999964,50.106273528217564
uni,2.0000000000000013,4.000888388138266
fdiff,4.074852064208259,4.166838627117382
fmax,4.0696612387708155,4.080552010308539
fsum,2.0000000000000004,4.0139660511013044
buc_eq,49.999999999999964,3.129841106056119
buc_con,45.474190666054945,12.236285726847404
buc_qeq,46.18047855431818,3.1759549970808125
buc_qsd,45.14067822001714,3.1112185636134235
ind_noW1,,50.08437625874648
uni_noW1,,3.1272007890947857
fdiff_noW1,,3.139366721984515
fmax_noW1,,3.140779333227783
fsum_noW1,,3.140213387388257
buc_eq_noW1,,3.1296180733079377
buc_con_noW1,,12.52000115218834
buc_qeq_noW1,,3.2226792794923504
buc_qsd_noW1,,3.130103428429721
