,0,1
ind,512.0,32.05053003272042
uni,66.51542335558841,15.000282292512848
fdiff,483.4069582030574,3.5237155070083297
fmax,120.32171032023106,7.537805739627171
fsum,176.02308026506637,5.634576792126782
buc_eq,512.0,3.562659609002166
buc_con,480.65302636995915,10.467006163775523
buc_qeq,479.98956497671384,3.5340640583601513
ind_noW1,,32.051633914001286
uni_noW1,,3.558988427950276
fdiff_noW1,,3.5645122073539013
fmax_noW1,,3.568648494987024
fsum_noW1,,3.5705045689375967
buc_eq_noW1,,3.5625509469666414
buc_con_noW1,,10.686451777699403
buc_qeq_noW1,,3.6298858403710668
