,0,1
ind,15337.679573359099,18.03158445074223
uni,1705.066423701281,26.73308654980879
fdiff,15326.76772665553,3.3093560503745927
fmax,4721.811110190301,5.556999656007949
fsum,5293.128977536819,5.15563945921296
buc_eq,14688.0,4.508473876223434
buc_con,7121.775471801718,8.73945404103096
buc_qeq,9646.719303067492,4.499655331593838
buc_qsd,6981.296369610338,4.438147895264928
ind_noW1,,18.041442842266406
uni_noW1,,4.504803776886547
fdiff_noW1,,4.538062044691969
fmax_noW1,,4.51025720106918
fsum_noW1,,4.518720186261817
buc_eq_noW1,,4.507212833494123
buc_con_noW1,,9.013360336786718
buc_qeq_noW1,,4.62097101807342
buc_qsd_noW1,,4.506487450365968
