,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,13316.442369452083,13060.442369452083,256.0,True,
uni_inter,2040.0,2040.0,2040.0,,True
fdiff_ind,13316.442369452083,13060.442369452083,256.0,True,
fdiff_inter,2040.0,2040.0,2040.0,,True
fmax_ind,13316.442369452083,13060.442369452083,256.0,True,
fmax_inter,2965.53044407401,2965.53044407401,2965.53044407401,,True
fsum_ind,13316.442369452083,13060.442369452083,256.0,True,
fsum_inter,2046.1842499361596,2046.1842499361596,2046.1842499361596,,True
