,0,1
ind,128.0,8.01317057851702
uni,32.0,32.0
fdiff,127.09229737173408,7.189890859946479
fmax,120.07861656143606,7.553431990525086
fsum,115.02437197515712,7.85185084278639
buc_eq,128.0,8.012408603797667
buc_con,120.47121936136563,7.540732009785955
buc_qeq,120.47146642451695,7.546123881424627
ind_noW1,,8.015728950616904
uni_noW1,,8.015644364175387
fdiff_noW1,,8.016601814539172
fmax_noW1,,8.012561905314215
fsum_noW1,,8.01659692026442
buc_eq_noW1,,8.013292836025357
buc_con_noW1,,8.013603215455078
buc_qeq_noW1,,8.200709963726158
