,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,4873.577842544624,4897.555368460982,-23.97752591635799,False,
uni_inter,-23.986565051949583,-23.986565051949583,-23.986565051949583,,False
fdiff_ind,-280.08942899209046,3.528734765037573,-283.61816375712806,False,
fdiff_inter,3.534999445335618,3.534999445335618,3.534999445335618,,True
fmax_ind,1830.6095458184707,1828.1650253462212,2.4445204722495077,True,
fmax_inter,2.4962717550177445,2.4962717550177445,2.4962717550177445,,True
fsum_ind,2483.1857387593213,2481.3570615729013,1.8286771864198421,True,
fsum_inter,1.8213198971619171,1.8213198971619171,1.8213198971619171,,True
