,0,1
ind,199.99999999999991,200.40794251544864
uni,2.0000000000000004,4.000143766403198
fdiff,3.931255831898768,4.252632540125866
fmax,4.721571902165441,4.732826438346314
fsum,2.000000000000001,4.01453400056198
buc_eq,200.00000000000028,2.474296099131202
buc_con,183.3690548518864,22.055947317973203
buc_qeq,187.1369070636494,2.5342534577597213
buc_qsd,173.49176588348746,2.4696246671727717
ind_noW1,,200.32922216632866
uni_noW1,,2.4705485550019843
fdiff_noW1,,2.5668402237757326
fmax_noW1,,2.51812607484091
fsum_noW1,,2.4893033159868434
buc_eq_noW1,,2.473532284479186
buc_con_noW1,,22.261376059032045
buc_qeq_noW1,,2.520619610007432
buc_qsd_noW1,,2.4730188156354425
