,0,1
ind,3199.9999999999995,200.4081594830495
uni,94.42207366327318,9.578275890646571
fdiff,3001.8071733628285,2.4675450869899453
fmax,120.3479662774717,7.536249627230404
fsum,285.11476472494047,4.321463120435288
buc_eq,3199.9999999999995,2.47417480843271
buc_con,3001.356600911941,22.111134097831535
buc_qeq,2997.056452702891,2.4697434826473486
buc_qsd,2948.9428758638983,2.47194252735675
ind_noW1,,200.4081594830495
uni_noW1,,2.46987700301372
fdiff_noW1,,2.52575830088812
fmax_noW1,,2.5193253939783564
fsum_noW1,,2.4959831137134585
buc_eq_noW1,,2.4741748084327106
buc_con_noW1,,22.265049425914185
buc_qeq_noW1,,2.4741748088217728
buc_qsd_noW1,,2.473894551212653
