,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_ind,130613.63491553123,130475.78435449098,137.85056104025375,True,
uni_inter,-21.925234392092307,-21.925234392092307,-21.925234392092307,,False
fdiff_ind,-4183.65876878195,159.97242606312477,-4343.631194845075,False,
fdiff_inter,0.2427222581169488,0.2427222581169488,0.2427222581169488,,True
fmax_ind,127592.58330699513,127435.8100513379,156.77325565723277,True,
fmax_inter,-2.9652936343423324,-2.9652936343423324,-2.9652936343423324,,False
fsum_ind,122487.49438855941,122329.00610781489,158.48828074451833,True,
fsum_inter,-1.2662117996812379,-1.2662117996812379,-1.2662117996812379,,False
buc_eq_ind,159.77292539956989,159.77292539956989,0.0,False,
buc_eq_inter,0.00015877986925261212,0.00015877986925261212,0.00015877986925261212,,True
buc_con_ind,47518.9874614599,47376.783464708395,142.20399675150753,True,
buc_con_inter,0.1840522289776949,0.1840522289776949,0.1840522289776949,,True
buc_qeq_ind,70377.03766440603,70217.25967798513,159.77798642089823,True,
buc_qeq_inter,0.07216613862177246,0.07216613862177246,0.07216613862177246,,True
buc_qsd_ind,71136.24142602061,70976.46595870054,159.7754673200755,True,
buc_qsd_inter,0.002570211160044966,0.002570211160044966,0.002570211160044966,,True
