0	412
1	333
2	285
3	231
4	202
5	174
6	160
7	142
8	146
9	149
10	145
11	181
12	174
13	190
14	213
15	287
16	372
17	499
18	619
19	715
20	785
21	821
22	822
23	816
24	799
25	742
26	717
27	697
28	658
29	593
30	564
31	519
32	447
33	403
34	388
35	365
36	336
37	306
38	311
39	289
40	261
41	231
42	213
43	196
44	194
45	170
46	175
47	168
48	149
49	142
50	131
51	119
52	112
53	118
54	114
55	116
56	112
57	114
58	106
59	111
60	109
61	112
62	113
63	109
64	104
65	108
66	108
67	94
68	91
69	81
70	81
71	72
72	68
73	63
74	56
75	46
76	41
77	38
78	34
79	28
80	23
81	22
82	18
83	18
84	16
85	41
