,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,16063.816411361735,13063.816411361735,3000.000000000001,True,
uni_2_inter,13147.690826359347,13147.690826359347,13147.690826359347,,True
fdiff_2_ind,9550.522119015746,6550.5221190157445,3000.000000000001,True,
fdiff_2_inter,6570.90660388841,6570.90660388841,6570.90660388841,,True
fmax_2_ind,14780.107631702005,11780.107631702005,3000.000000000001,True,
fmax_2_inter,11891.23068906716,11891.23068906716,11891.23068906716,,True
fsum_2_ind,16222.922706464773,13222.922706464773,3000.0,True,
fsum_2_inter,10870.604936720418,10870.604936720418,10870.604936720418,,True
uni_3_ind,33527.36300581139,15358.168815490122,3555.5555555555575,True,
uni_3_inter,2784.3369043302064,2228.7813487746507,555.5555555555554,,True
fdiff_3_ind,33086.49448121812,15137.734553193488,3555.5555555555575,True,
fdiff_3_inter,9077.196934379564,8521.641378824008,555.5555555555557,,True
fmax_3_ind,33505.680682686456,15347.327653927654,3555.5555555555575,True,
fmax_3_inter,4057.204522427467,3501.6489668719114,555.5555555555557,,True
fsum_3_ind,33760.66967463686,15474.822149902857,3555.5555555555575,True,
fsum_3_inter,2741.8839436399057,2186.328388084349,555.5555555555563,,True
uni_4_ind,51566.5789787963,16295.998771049162,3750.000000000001,True,
uni_4_inter,1868.5779479265589,837.066751741057,194.44444444444483,,True
fdiff_4_ind,26844.340694803483,8055.252676384889,3750.000000000001,True,
fdiff_4_inter,-14172.04571680872,194.44444444444457,-7183.245080626582,,False
fmax_4_ind,-22197.058013216185,-727.4003347377775,-7703.659121063589,False,
fmax_4_inter,-48777.96450186942,-4282.955890293334,-22247.504305788043,,False
fsum_4_ind,52119.097577785884,16480.171637379022,3750.000000000001,True,
fsum_4_inter,2003.617011760805,904.5862836581803,194.44444444444457,,True
uni_5_ind,53569.539071984436,16799.65763369122,-284.35676766259155,False,
uni_5_inter,1240.1888036960067,383.39626789866895,89.99999999999991,,True
fdiff_5_ind,6288.702495585413,3432.6630148385857,206.1560532443342,True,
fdiff_5_inter,-21808.922309617126,-317.3369851614172,-7163.86177481857,,False
fmax_5_ind,4377.155968477754,2251.2326235511464,-433.63330731330586,False,
fmax_5_inter,25960.719231852523,7660.6954245212,2978.632958288922,,True
fsum_5_ind,52599.829386960795,16320.026514390394,202.31676386438312,True,
fsum_5_inter,-768.7130118441896,72.51014135185343,-280.40771773201436,,False
uni_6_ind,58128.519736219125,17036.89519786204,108.9930261297751,True,
uni_6_inter,1117.8562733676454,278.24296190093503,48.8888888888889,,True
fdiff_6_ind,9426.13658529985,3498.050292249217,182.90944188599315,True,
fdiff_6_inter,87.1482954870774,65.38727741063173,-3.2436473809539166,,False
fmax_6_ind,21200.40589740954,5368.541096854644,44.08830961195656,True,
fmax_6_inter,14311.198947699537,4428.001923362577,318.61032190884714,,True
fsum_6_ind,57576.79964585718,16769.789587723466,373.93187461828654,True,
fsum_6_inter,1543.5169222467118,490.7684710631835,12.503815737488118,,True
uni_7_ind,75728.6449604426,16981.268881878314,367.5004349182343,True,
uni_7_inter,336.15748088665947,75.94220884522446,29.47845804988664,,True
fdiff_7_ind,11383.887897459106,3533.8753805450883,604.0765255774375,True,
fdiff_7_inter,646.8708740362723,192.34565029479927,-1.8162534398657897,,False
fmax_7_ind,41843.50771171925,9017.990398416563,346.3309605996184,True,
fmax_7_inter,11342.412554434652,3781.017826390871,-46.87505259418867,,False
fsum_7_ind,74993.30725914756,16743.84702534181,594.5908881509308,True,
fsum_7_inter,389.9617264900884,105.6259624472982,11.525542995397913,,True
uni_8_ind,92903.26146792689,17264.782144070447,428.298125144843,True,
uni_8_inter,478.14708820559645,91.41080691424733,19.132653061224502,,True
fdiff_8_ind,11241.68812408917,3604.4478680897337,75.06638226588257,True,
fdiff_8_inter,-605.2961406387351,70.57248754464803,-188.8749398818436,,False
fmax_8_ind,59478.28924963869,10723.036376765933,572.3937784132546,True,
fmax_8_inter,7480.057885945237,1512.9435230714826,239.50368201318557,,True
fsum_8_ind,92137.02730922773,17081.52723657665,587.8232756482857,True,
fsum_8_inter,630.5055382952299,145.5777559569509,6.673251696904249,,True
uni_9_ind,110080.95209650257,17180.460552375665,69.17593836345984,True,
uni_9_inter,382.99640266262975,61.428261439669456,13.117283950617285,,True
fdiff_9_ind,13240.127551993615,3633.2259143255096,194.01198844152142,True,
fdiff_9_inter,1258.8915112141863,239.6550042267827,3.0603976087211215,,True
fmax_9_ind,79307.72110949003,12232.886652010999,-48.19446565014451,False,
fmax_9_inter,7982.311534302943,1655.600128379515,-211.8455297189681,,False
fsum_9_ind,109391.64526702347,17048.15093662721,180.03118589448934,True,
fsum_9_inter,592.2333476311477,112.37355318501199,0.9506245906346749,,True
uni_10_ind,133287.4027600167,22726.843204974,473.15506300390535,True,
uni_10_inter,38.07592227633519,9.382716049382715,-4.4818841885991105,,False
fdiff_10_ind,51053.890731140025,9519.622243530239,606.1821655367759,True,
fdiff_10_inter,27852.60939935242,4616.318028848722,3.7091682662097796,,True
fmax_10_ind,103705.2565244333,18274.22369493529,427.6833486723138,True,
fmax_10_inter,5681.780183744228,914.9187290307209,62.42550203324481,,True
fsum_10_ind,132593.50099648756,22330.913635204128,585.4807365195913,True,
fsum_10_inter,429.41055799620256,68.58920213474161,-3.011458203942606,,False
