,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,19199.999999999996,9599.999999999998,9599.999999999998,True,
uni_2_inter,9599.999999999998,9599.999999999998,9599.999999999998,,True
fdiff_2_ind,19199.999999999996,9599.999999999998,9599.999999999998,True,
fdiff_2_inter,9599.999999999998,9599.999999999998,9599.999999999998,,True
fmax_2_ind,19199.999999999996,9599.999999999998,9599.999999999998,True,
fmax_2_inter,9599.999999999998,9599.999999999998,9599.999999999998,,True
fsum_2_ind,19199.999999999996,9599.999999999998,9599.999999999998,True,
fsum_2_inter,9599.999999999998,9599.999999999998,9599.999999999998,,True
uni_3_ind,55288.8888888889,32533.33333333334,11377.77777777778,True,
uni_3_inter,3555.5555555555547,1777.7777777777774,1777.7777777777774,,True
fdiff_3_ind,55288.8888888889,32533.33333333334,11377.77777777778,True,
fdiff_3_inter,3555.5555555555547,1777.7777777777774,1777.7777777777774,,True
fmax_3_ind,55288.8888888889,32533.33333333334,11377.77777777778,True,
fmax_3_inter,3555.5555555555547,1777.7777777777774,1777.7777777777774,,True
fsum_3_ind,55288.8888888889,32533.33333333334,11377.77777777778,True,
fsum_3_inter,3555.5555555555547,1777.7777777777774,1777.7777777777774,,True
uni_4_ind,58499.999999999985,34312.49999999999,187.50000000000006,True,
uni_4_inter,3023.6111111111113,1779.166666666667,622.2222222222223,,True
fdiff_4_ind,35658.79632291254,23607.22069444022,187.50000000000006,True,
fdiff_4_inter,-19817.59256597634,-5445.739963541619,-8926.112638893104,,False
fmax_4_ind,39185.123074013776,25375.097050726654,130.440105908238,True,
fmax_4_inter,-16234.205920783337,-4537.984819088333,-7158.236282606671,,False
fsum_4_ind,58499.999999999985,34312.49999999999,187.50000000000006,True,
fsum_4_inter,3023.6111111111113,1779.166666666667,622.2222222222223,,True
uni_5_ind,60095.999999999985,35135.99999999999,191.9999999999997,True,
uni_5_inter,1403.9999999999993,823.4999999999995,4.499999999999998,,True
fdiff_5_ind,45903.00075223109,28544.998902143052,191.9999999999997,True,
fdiff_5_inter,10052.204429318557,4937.778207702829,4.500000000000016,,True
fmax_5_ind,47422.74463553163,29317.09597939228,191.9999999999997,True,
fmax_5_inter,8045.621561517847,3941.9989286656237,61.559894091762075,,True
fsum_5_ind,60095.999999999985,35135.99999999999,191.9999999999997,True,
fsum_5_inter,1403.9999999999993,823.4999999999995,4.499999999999998,,True
uni_6_ind,96444.44444444447,35583.33333333334,194.4444444444445,True,
uni_6_inter,765.1111111111112,447.33333333333337,2.4444444444444446,,True
fdiff_6_ind,80978.40980580958,30697.669554580058,194.44444444444449,True,
fdiff_6_inter,4377.739498998401,2152.670652436992,2.4444444444444358,,True
fmax_6_ind,82467.75643317119,31174.136819884236,187.57990124369456,True,
fmax_6_inter,3870.8749777553166,1857.0408404919417,-4.420098756305518,,False
fsum_6_ind,96444.44444444447,35583.33333333334,194.4444444444445,True,
fsum_6_inter,765.1111111111112,447.33333333333337,2.4444444444444446,,True
uni_7_ind,98559.5052114872,35853.0612244898,195.91836734693896,True,
uni_7_inter,731.0657596371877,269.7278911564624,1.47392290249433,,True
fdiff_7_ind,86705.10113027206,32104.615388146613,195.91836734693896,True,
fdiff_7_inter,4417.153551833259,1406.945833566554,1.4739229024943397,,True
fmax_7_ind,87476.02459040043,32375.488499983374,183.28820879703827,True,
fmax_7_inter,3666.59156909792,1201.3516800991383,-4.291692446656425,,False
fsum_7_ind,98276.77733740638,35786.66045165912,195.91836734693896,True,
fsum_7_inter,274.1197734384174,203.3271183257782,-67.74115450906385,,False
uni_8_ind,111463.68069016126,36028.12499999999,196.87500000000003,True,
uni_8_inter,535.7142857142865,175.06377551020432,0.9566326530612259,,True
fdiff_8_ind,101414.59106395498,33361.67587388436,196.87500000000003,True,
fdiff_8_inter,3870.334361269576,1257.0604857377589,0.9566326530612215,,True
fmax_8_ind,103074.01635167105,33829.657539952605,196.87500000000003,True,
fmax_8_inter,4558.708432508254,1454.1690399692488,13.586791202961933,,True
fsum_8_ind,111187.90838372135,35992.684967946254,196.87500000000003,True,
fsum_8_inter,653.3794644022497,206.02451628714846,0.956632653061233,,True
uni_9_ind,112640.40244432552,36148.14814814814,197.53086419753086,True,
uni_9_inter,409.25925925925895,120.02314814814804,0.6558641975308639,,True
fdiff_9_ind,105087.21158980358,34102.930725730825,197.53086419753086,True,
fdiff_9_inter,2783.7620320819433,741.2548518464719,0.6558641975308626,,True
fmax_9_ind,104641.26581355238,33994.56081184444,181.4873424037712,True,
fmax_9_inter,669.8084685627257,164.90327189183563,-15.387657596228802,,False
fsum_9_ind,112198.68434563457,36031.639660516994,197.53086419753086,True,
fsum_9_inter,118.79101440008921,38.954692570738416,0.6558641975308621,,True
uni_10_ind,113654.84695055419,36233.99999999999,197.9999999999999,True,
uni_10_inter,322.76543209876536,85.85185185185185,0.46913580246913567,,True
fdiff_10_ind,107310.80316532598,34502.14030168727,197.9999999999999,True,
fdiff_10_inter,1434.158634474478,399.20957595644313,0.4691358024691348,,True
fmax_10_ind,107244.29517071086,34494.033066429925,189.58337800018398,True,
fmax_10_inter,1807.0901100485548,499.47225458548155,4.306365924476818,,True
fsum_10_ind,113143.97399037544,36068.50595414057,197.9999999999999,True,
fsum_10_inter,145.44263053811878,36.866293623582465,0.46913580246913167,,True
