,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,6813.750504524753,9599.999999999998,-2786.2494954752456,False,
uni_2_inter,-2729.6030785445923,-2729.6030785445923,-2729.6030785445923,,False
fdiff_2_ind,-368.6141945622211,-22.740639662459216,-345.87355489976187,False,
fdiff_2_inter,-233.17448101016635,-233.17448101016635,-233.17448101016635,,False
fmax_2_ind,-418.4857622545063,-94.17886766523225,-324.30689458927407,False,
fmax_2_inter,-403.2581884437441,-403.2581884437441,-403.2581884437441,,False
fsum_2_ind,4555.893599442851,4466.53397692874,89.35962251411081,True,
fsum_2_inter,386.715155203079,386.715155203079,386.715155203079,,True
uni_3_ind,21780.77340438851,11377.77777777778,-974.7821511670475,False,
uni_3_inter,3555.5555555555547,1777.7777777777774,1777.7777777777774,,True
fdiff_3_ind,1343.2099192524217,546.5036350725859,250.20264910724993,True,
fdiff_3_inter,1131.6309122116322,569.2442747350415,562.3866374765909,,True
fmax_3_ind,14961.229699102965,7426.442694730429,108.34430964210685,True,
fmax_3_inter,7919.5832000966175,7520.621562395658,398.96163770095995,,True
fsum_3_ind,19530.3150110164,9634.898712687238,260.5175856419228,True,
fsum_3_inter,5305.833132355885,5168.364735758494,137.46839659739098,,True
uni_4_ind,23941.819661592133,11999.999999999998,-245.68033840786234,False,
uni_4_inter,1866.666666666667,622.2222222222223,622.2222222222223,,True
fdiff_4_ind,11962.512286468704,5696.559110922933,187.4999999999998,True,
fdiff_4_inter,10324.922776679326,5150.05547585035,24.81182497862588,,True
fmax_4_ind,13075.116811417258,6258.547629799381,187.4999999999998,True,
fmax_4_inter,-2180.492478222663,155.29765163942608,-1167.8950649310445,,False
fsum_4_ind,22660.01854096861,11016.890453212152,187.4999999999998,True,
fsum_4_inter,2835.323939415257,1381.991740524918,71.34045836542091,,True
uni_5_ind,24678.659240789373,12287.999999999998,-137.65941751377483,False,
uni_5_inter,868.4999999999997,287.9999999999999,4.499999999999998,,True
fdiff_5_ind,16874.264629625537,7981.342557958658,191.99999999999963,True,
fdiff_5_inter,4638.952627500174,2284.7834470357257,4.499999999999991,,True
fmax_5_ind,18426.722891996727,8769.535317486683,191.99999999999966,True,
fmax_5_inter,5090.7699932652395,2510.9876876873022,4.499999999999997,,True
fsum_5_ind,23920.953060983127,11456.079963197248,191.99999999999966,True,
fsum_5_inter,939.5279939176474,439.1895099850947,4.4999999999999964,,True
uni_6_ind,37733.894530080615,12444.444444444447,66.20277034638673,True,
uni_6_inter,628.2222222222223,156.44444444444446,2.4444444444444446,,True
fdiff_6_ind,29939.911353597727,9661.652906890758,194.44444444444446,True,
fdiff_6_inter,3421.4251944568578,1680.310348932096,2.444444444444459,,True
fmax_6_ind,30953.49332041446,10007.881720245323,194.44444444444449,True,
fmax_6_inter,2536.3200855478385,1238.3464027586365,2.4444444444444438,,True
fsum_6_ind,36906.0945112162,11962.942250776821,194.44444444444449,True,
fsum_6_inter,1039.6305768316788,506.8622875795695,2.4444444444444455,,True
uni_7_ind,51162.52722783043,12538.775510204083,195.91836734693888,True,
uni_7_inter,473.1292517006799,94.33106575963711,1.47392290249433,,True
fdiff_7_ind,43587.05730085932,10543.976491441557,195.91836734693888,True,
fdiff_7_inter,2686.441519974971,882.3235845507984,1.4739229024943317,,True
fmax_7_ind,44067.383363040906,10662.399053768519,195.91836734693888,True,
fmax_7_inter,2034.7630530128647,654.5173335231948,1.473922902494322,,True
fsum_7_ind,50333.886896624805,12219.990636506756,195.91836734693888,True,
fsum_7_inter,791.0738130567909,257.04838572993583,1.4739229024943272,,True
uni_8_ind,51648.08441266429,12599.999999999998,196.87499999999986,True,
uni_8_inter,368.303571428572,61.22448979591846,0.9566326530612259,,True
fdiff_8_ind,46482.59150786092,11193.033593320994,196.87499999999986,True,
fdiff_8_inter,2624.156352958772,649.0571018794403,0.9566326530612272,,True
fmax_8_ind,46480.385254205525,11193.248991123543,182.0306037301065,True,
fmax_8_inter,2137.6985199870223,530.8499373550283,-13.887763616832135,,False
fsum_8_ind,50987.03191590346,12302.599225921844,196.10196719413082,True,
fsum_8_inter,359.45019508749016,82.60858941509042,0.18359984719219602,,True
uni_9_ind,53359.91794921719,12641.975308641973,197.53086419753086,True,
uni_9_inter,294.48302469135785,41.97530864197529,0.6558641975308639,,True
fdiff_9_ind,48313.66583216155,11314.72958105577,197.53086419753086,True,
fdiff_9_inter,524.1891694274167,121.69598773477719,0.6558641975308661,,True
fmax_9_ind,49105.93414301791,11486.82416218532,184.38133668445604,True,
fmax_9_inter,1214.5795970785562,293.5751710617769,2.3507329543494055,,True
fsum_9_ind,52978.74351757714,12418.414997033069,197.2197972579767,True,
fsum_9_inter,472.2611956907403,115.81577111122493,1.1178300638457177,,True
uni_10_ind,89844.92582470839,36233.99999999999,197.9999999999999,True,
uni_10_inter,240.6666666666666,30.024691358024683,0.46913580246913567,,True
fdiff_10_ind,84329.14088508021,34481.97378056496,197.9999999999999,True,
fdiff_10_inter,1523.1600635291704,363.4341773429328,0.4691358024691312,,True
fmax_10_ind,84218.83231153685,34470.71421472457,185.72309063718396,True,
fmax_10_inter,631.8427449698311,149.0920317650705,1.3417539527280358,,True
fsum_10_ind,89350.25609948768,36036.11584993881,197.73192841513955,True,
fsum_10_inter,325.05552314718835,75.64731369578351,0.5121311571629774,,True
