,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,16360.809078878778,13360.809078878778,3000.0,True,
uni_2_inter,3000.0,3000.0,3000.0,,True
fdiff_2_ind,15746.24190136162,12746.241901361618,3000.000000000001,True,
fdiff_2_inter,3000.0000000000027,3000.0000000000027,3000.0000000000027,,True
fmax_2_ind,14662.11255439989,11662.11255439989,3000.000000000001,True,
fmax_2_inter,3000.0000000000027,3000.0000000000027,3000.0000000000027,,True
fsum_2_ind,16658.887790528774,13658.887790528774,3000.000000000001,True,
fsum_2_inter,3000.000000000001,3000.000000000001,3000.000000000001,,True
uni_3_ind,22557.75059447779,15446.639483366675,3555.5555555555593,True,
uni_3_inter,2652.4310907182034,2096.875535162648,555.5555555555559,,True
fdiff_3_ind,22219.551312602052,15108.440201490936,3555.5555555555593,True,
fdiff_3_inter,2928.798986359623,2373.2434308040674,555.5555555555557,,True
fmax_3_ind,22456.561233060434,15345.450121949316,3555.5555555555593,True,
fmax_3_inter,4249.938253779732,3694.3826982241762,555.5555555555557,,True
fsum_3_ind,22780.248261287164,15669.137150176048,3555.5555555555593,True,
fsum_3_inter,2576.8500458775784,2021.2944903220227,555.5555555555557,,True
uni_4_ind,27375.504435093262,16125.504435093259,3750.000000000001,True,
uni_4_inter,1147.851670148075,758.9627812591855,194.44444444444474,,True
fdiff_4_ind,18864.79937794388,7614.799377943877,3750.000000000001,True,
fdiff_4_inter,-7024.654105125569,194.44444444444457,-7413.542994014458,,False
fmax_4_ind,-8778.822648203946,-306.6018350137683,-7859.017143162637,False,
fmax_4_inter,-30848.684216718004,-3862.1573905693263,-23124.369435579352,,False
fsum_4_ind,27608.638157909343,16358.638157909338,3750.000000000001,True,
fsum_4_inter,1158.4877261547808,769.5988372658918,194.44444444444446,,True
uni_5_ind,31875.567134929348,16515.567134929344,3840.000000000001,True,
uni_5_inter,660.9659134317677,390.9659134317677,90.0,,True
fdiff_5_ind,22900.396614312715,7540.396614312709,3840.000000000001,True,
fdiff_5_inter,196.50044996451288,90.0,-73.49955003548712,,False
fmax_5_ind,8483.741245461519,1711.6514104643215,1637.135603604238,True,
fmax_5_inter,15551.815696796826,9497.055960362555,2018.2532454780899,,True
fsum_5_ind,31936.21795793593,16576.217957935925,3840.000000000001,True,
fsum_5_inter,488.48301362226744,218.48301362226744,90.00000000000003,,True
uni_6_ind,53803.27818794575,22383.11220576886,3888.888888888891,True,
uni_6_inter,267.1404323943354,71.58487683877979,48.8888888888889,,True
fdiff_6_ind,37333.8266211954,13696.463554094536,3888.888888888891,True,
fdiff_6_inter,1459.5080379349556,1263.9524823794,48.88888888888886,,True
fmax_6_ind,24952.455800110965,11145.680821302669,2029.388100346811,True,
fmax_6_inter,6045.575318493582,4774.6285589636245,317.7366898824898,,True
fsum_6_ind,53885.27425922334,22423.98786029409,3888.888888888891,True,
fsum_6_inter,247.61002614012943,52.05447058457332,48.88888888888903,,True
uni_7_ind,71984.42935599566,22470.373501351896,3918.3673469387777,True,
uni_7_inter,429.8896801827487,224.7145524001666,29.47845804988664,,True
fdiff_7_ind,52254.33439586716,15452.854657601003,3918.3673469387777,True,
fdiff_7_inter,3525.534344993399,1756.3911035064666,29.478458049886626,,True
fmax_7_ind,42851.45968655631,14441.181343800294,2353.428114129524,True,
fmax_7_inter,7569.7526889035435,3295.500522497625,324.04001378271346,,True
fsum_7_ind,72031.62042888292,22496.630726749863,3918.3673469387777,True,
fsum_7_inter,384.6177580477544,194.06105939243713,29.47845804988657,,True
uni_8_ind,89284.85372207148,22612.51503335422,3937.500000000001,True,
uni_8_inter,421.3339401083749,142.14153200232892,19.132653061224502,,True
fdiff_8_ind,71958.43296295528,17896.406940148194,3937.500000000001,True,
fdiff_8_inter,7028.445696424056,2443.552282547198,19.13265306122453,,True
fmax_8_ind,60726.94289611865,16246.290121944401,2761.7615151288637,True,
fmax_8_inter,6825.970108614381,1805.1087781441147,408.33340099934094,,True
fsum_8_ind,89281.88971335551,22607.042054799782,3937.500000000001,True,
fsum_8_inter,370.3425352256626,110.41132804992657,19.13265306122453,,True
uni_9_ind,89089.65187319722,22684.208723616,112.72958791326815,True,
uni_9_inter,315.32637898641826,71.69369026178163,13.117283950617285,,True
fdiff_9_ind,24660.330390307503,5457.125868171788,278.8404698540514,True,
fdiff_9_inter,-46953.685226727874,-262.67296363718793,-12439.281071976406,,False
fmax_9_ind,67884.86064961056,17228.20600033585,249.37145375493253,True,
fmax_9_inter,7531.804115510917,1055.1631618653655,846.0996878808435,,True
fsum_9_ind,88515.04623703286,22386.832620767906,260.47217035836024,True,
fsum_9_inter,-404.0578309070505,11.276106868139877,-220.20943403187442,,False
uni_10_ind,112254.03831829503,22763.968554107098,57.34750466511849,True,
uni_10_inter,255.4084132579341,79.75983049109877,9.382716049382715,,True
fdiff_10_ind,26648.85601914726,4716.111009547181,201.46061687528186,True,
fdiff_10_inter,-2872.594858440214,6.198326578372958,-741.0148586246069,,False
fmax_10_ind,89909.3699397626,18438.956767659183,43.610461758491,True,
fmax_10_inter,3440.543044760089,1210.7507673233358,-138.2085665075429,,False
fsum_10_ind,111719.91038051873,22637.201127824555,178.1181812243992,True,
fsum_10_inter,422.65353792852864,250.36850705664762,1.2241904231813976,,True
