,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,2049.6562799036806,1054.8653797092588,994.7909001944219,True,
uni_2_inter,1004.7927912982676,1004.7927912982676,1004.7927912982676,,True
fdiff_2_ind,2013.1886622047282,1036.6315708597826,976.5570913449457,True,
fdiff_2_inter,1564.1180173647913,1564.1180173647913,1564.1180173647913,,True
fmax_2_ind,2079.40379144961,1069.7391354822234,1009.6646559673865,True,
fmax_2_inter,1201.2744769905157,1201.2744769905157,1201.2744769905157,,True
fsum_2_ind,2099.541794562904,1079.8081370388704,1019.7336575240336,True,
fsum_2_inter,1236.8285376666602,1236.8285376666602,1236.8285376666602,,True
uni_3_ind,2973.186273131821,1276.8067039251644,430.347890663681,True,
uni_3_inter,530.0715404209768,265.0357702104884,265.0357702104884,,True
fdiff_3_ind,1210.5896131512852,430.89043587100537,384.4620759490456,True,
fdiff_3_inter,-1196.6000470679307,-598.3000235339654,-598.3000235339654,,False
fmax_3_ind,2167.7607494915746,899.3723370128512,379.791100848061,True,
fmax_3_inter,-254.54470494957854,-127.27235247478927,-127.27235247478927,,False
fsum_3_ind,2824.4263848778724,1227.2200745052412,380.76126124957847,True,
fsum_3_inter,381.01276692190714,190.50638346095357,190.50638346095357,,True
uni_4_ind,3445.2663965282745,1458.042801822774,187.50000000000028,True,
uni_4_inter,197.44384387716622,65.81461462895581,65.8146146241052,,True
fdiff_4_ind,1129.3961969962995,370.5121233292648,187.50000000000028,True,
fdiff_4_inter,-355.8296956742729,-2.1977328557905196,-176.8159814092412,,False
fmax_4_ind,2938.3871269847905,1235.3015607257908,167.77098837368467,True,
fmax_4_inter,515.7191096002441,220.50774043943505,74.70362872137397,,True
fsum_4_ind,3379.2737561040935,1436.045255014835,187.50000000000028,True,
fsum_4_inter,280.2110917069342,93.40369723608936,93.4036972347555,,True
uni_5_ind,3952.6720883606426,1581.147310330733,191.99999999999997,True,
uni_5_inter,106.73944437717462,34.07981479337015,4.5000000000000036,,True
fdiff_5_ind,2520.381982413595,883.6358774318186,191.99999999999997,True,
fdiff_5_inter,990.3195379621015,460.76858052173213,4.5000000000000036,,True
fmax_5_ind,3627.578704291983,1443.6077240573227,181.11869651670614,True,
fmax_5_inter,299.406633335293,119.28146961694304,13.34770814302178,,True
fsum_5_ind,3915.8315421102575,1568.8671282463315,191.99999999999997,True,
fsum_5_inter,135.89153855097032,43.79717951715509,4.4999999999999964,,True
uni_6_ind,39775.68936451386,35496.272222023326,194.4444444444444,True,
uni_6_inter,-158.21336476298143,2.444444444444459,-54.36741788396526,,False
fdiff_6_ind,34712.415248807585,30955.43870379083,194.44444444444437,True,
fdiff_6_inter,751.6361437102879,359.55161397039626,2.444444444444442,,True
fmax_6_ind,34629.26889080659,30612.76376945545,182.87558117549543,True,
fmax_6_inter,-96.03200183371764,30.859372447111824,-65.20257179920404,,False
fsum_6_ind,38788.30802722549,34318.170716457804,194.4444444444444,True,
fsum_6_inter,69.34734976455343,21.94317597023573,2.44444444444445,,True
uni_7_ind,40758.37959759131,35765.26105022429,195.91836734693874,True,
uni_7_inter,386.09761741823223,268.988828200959,1.4739229024943157,,True
fdiff_7_ind,37096.669719807076,32566.27970313011,195.91836734693874,True,
fdiff_7_inter,1763.4630171825345,1610.8409993392766,1.4739229024943397,,True
fmax_7_ind,36908.124477393016,32077.774647396764,181.9848073563007,True,
fmax_7_inter,1649.1860910242349,1465.010877941314,-0.8907738191947416,,False
fsum_7_ind,39937.19715327011,34789.378385742355,195.91836734693874,True,
fsum_7_inter,506.30847179560647,471.2076692845517,1.4739229024943317,,True
uni_8_ind,52627.90077265786,36028.12499999999,196.87500000000014,True,
uni_8_inter,-213.2723821126954,262.86394977572,-120.73210363183412,,False
fdiff_8_ind,48601.76384174344,33393.9096261354,196.87500000000014,True,
fdiff_8_inter,950.6970170175015,827.6299230053023,0.9566326530612184,,True
fmax_8_ind,48645.11598615075,33367.60857742313,177.61598898675737,True,
fmax_8_inter,1257.1714485597233,1289.8339300263847,-25.475409637690177,,False
fsum_8_ind,52436.50716462962,35563.59508117676,196.87500000000014,True,
fsum_8_inter,798.6191355759818,774.2166954344195,0.9566326530612286,,True
uni_9_ind,53332.96009508512,36148.14814814814,197.53086419753083,True,
uni_9_inter,331.2114197530862,120.02314814814804,0.6558641975308639,,True
fdiff_9_ind,50025.769822385526,33944.143928390666,197.53086419753083,True,
fdiff_9_inter,1050.1580779678945,550.234302255265,0.6558641975308652,,True
fmax_9_ind,50050.97111898694,33988.106582443856,178.69791879350262,True,
fmax_9_inter,1050.840175566032,620.4980050207264,1.0819298067454142,,True
fsum_9_ind,53182.58746467319,35780.11758734191,197.53086419753083,True,
fsum_9_inter,372.2323973693706,216.52250616514607,0.6558641975308617,,True
uni_10_ind,66028.81411454026,36233.99999999999,198.0,True,
uni_10_inter,237.38271604938268,85.85185185185185,0.46913580246913567,,True
fdiff_10_ind,62759.025946902926,34675.59328036417,198.0,True,
fdiff_10_inter,1197.4935126565447,731.4493519735072,0.46913580246913567,,True
fmax_10_ind,62698.689114564535,34605.39896905079,198.0,True,
fmax_10_inter,1140.9931590673802,617.2923866069284,2.0501268061255793,,True
fsum_10_ind,65813.12288658418,36008.25979657518,198.0,True,
fsum_10_inter,372.51730042033375,228.14220923327161,0.46913580246913567,,True
