,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,1335.7636166767513,1185.763616676751,150.00000000000017,True,
uni_2_inter,1057.4919803930302,1057.4919803930302,1057.4919803930302,,True
fdiff_2_ind,1058.817910585255,908.8179105852548,150.00000000000026,True,
fdiff_2_inter,848.6435946115594,848.6435946115594,848.6435946115594,,True
fmax_2_ind,1267.9278558137742,1117.927855813774,150.0000000000002,True,
fmax_2_inter,1125.2780106952018,1125.2780106952018,1125.2780106952018,,True
fsum_2_ind,1250.0246466182753,1100.024646618275,150.0000000000002,True,
fsum_2_inter,1557.0218094616243,1557.0218094616243,1557.0218094616243,,True
uni_3_ind,1724.9098655413322,1369.3543099857766,177.77777777777754,True,
uni_3_inter,212.18014183886697,184.40236406108917,27.777777777777796,,True
fdiff_3_ind,1607.9767875309951,1252.4212319754395,177.77777777777754,True,
fdiff_3_inter,372.192769920026,344.4149921422483,27.777777777777715,,True
fmax_3_ind,1718.4438670400818,1362.8883114845264,177.7777777777775,True,
fmax_3_inter,273.5499042005939,245.77212642281623,27.777777777777708,,True
fsum_3_ind,1700.056292312663,1344.5007367571072,177.77777777777754,True,
fsum_3_inter,273.0655386686738,245.28776089089604,27.777777777777768,,True
uni_4_ind,2253.9785900340894,1429.5012196256355,187.50000000000006,True,
uni_4_inter,98.47442041839611,79.02997597395165,9.722222222222236,,True
fdiff_4_ind,1421.0018207159856,687.817877974263,187.50000000000006,True,
fdiff_4_inter,-526.2758432226392,9.722222222222232,-545.7202876670838,,False
fmax_4_ind,2069.4631714405496,1265.4410785733935,179.09609312637878,True,
fmax_4_inter,-75.92753587983813,1.3183153486010042,-78.56416657704014,,False
fsum_4_ind,2198.77059211064,1401.8972206628196,187.50000000000006,True,
fsum_4_inter,95.7239946842495,76.27955023980505,9.72222222222223,,True
uni_5_ind,3261.0143246058224,1603.3059514503523,192.0000000000001,True,
uni_5_inter,64.88996262481197,27.94498131470516,4.499999999999991,,True
fdiff_5_ind,2583.2849352649537,1036.192167430628,192.0000000000001,True,
fdiff_5_inter,275.44514526261923,202.51453894635347,4.500000000000002,,True
fmax_5_ind,3113.542307052525,1476.0043634822737,182.66829231642163,True,
fmax_5_inter,102.68687077408534,64.70353439886856,3.572199190042795,,True
fsum_5_ind,3206.2773201670234,1511.9392984037177,192.0000000000001,True,
fsum_5_inter,47.04613180554445,73.86380457465779,-35.81767276911333,,False
uni_6_ind,3729.6080785976965,1728.0992480791251,194.44444444444468,True,
uni_6_inter,44.65053613526078,25.817149109540225,-11.872650972708556,,False
fdiff_6_ind,3077.943291367398,1196.3389231387791,194.4444444444447,True,
fdiff_6_inter,110.68329234248235,41.156797673461725,2.444444444444451,,True
fmax_6_ind,3705.406957483938,1699.0912903538622,188.7590663015869,True,
fmax_6_inter,162.52890160906045,86.42097927010728,6.090773985165129,,True
fsum_6_ind,3713.4977101679196,1676.1287480954313,194.44444444444468,True,
fsum_6_inter,71.32379495964463,27.523502090232142,2.4444444444444526,,True
uni_7_ind,4584.153212058085,1663.6179050167866,195.23782114542357,True,
uni_7_inter,47.79173799598147,13.079612673922007,0.793376700979258,,True
fdiff_7_ind,4075.79378124695,1282.1386290203645,195.91836734693862,True,
fdiff_7_inter,223.1574062195797,157.24719551618062,1.4739229024943175,,True
fmax_7_ind,4475.269481876717,1620.909015720291,193.2857199936022,True,
fmax_7_inter,-21.323211426323013,4.526653692015709,-7.8805779371261835,,False
fsum_7_ind,4578.708240703551,1629.744562730857,195.91836734693862,True,
fsum_7_inter,51.690315439131766,25.063304270021135,1.47392290249433,,True
uni_8_ind,5623.589922423296,1574.4930038546713,196.8749999999999,True,
uni_8_inter,53.03074934033596,44.99389127369081,1.1906250893731354,,True
fdiff_8_ind,4955.151828776323,1275.6257518039315,196.8749999999999,True,
fdiff_8_inter,191.81933855523835,127.605915219373,0.9566326530612312,,True
fmax_8_ind,5438.96555762628,1504.2936408596508,191.26513907512776,True,
fmax_8_inter,47.48947771971081,17.50341757516594,-2.0205809184744767,,False
fsum_8_ind,5588.600585101423,1541.260767291337,196.8749999999999,True,
fsum_8_inter,56.718619936332075,45.63499699628608,0.9566326530612277,,True
uni_9_ind,7998.072166900422,1708.7772621500183,197.5308641975308,True,
uni_9_inter,47.346387493181055,7.67244318323155,0.6558641975308648,,True
fdiff_9_ind,7136.440643636718,1440.8000450491672,197.5308641975308,True,
fdiff_9_inter,122.13017497730021,38.56247813248535,0.6558641975308634,,True
fmax_9_ind,7788.8469122921615,1654.064177279773,192.3145846938911,True,
fmax_9_inter,77.45858255218066,23.158721307371806,1.04944561876329,,True
fsum_9_ind,7953.44525339262,1693.1655171916436,197.5308641975308,True,
fsum_9_inter,53.32055626562424,25.29293478755624,0.35573957386250754,,True
uni_10_ind,8185.114147710817,1834.6610359317522,197.99999999999991,True,
uni_10_inter,19.26264735043716,2.617767963645946,0.46913580246913567,,True
fdiff_10_ind,7711.421925869,1699.6883763605604,197.99999999999991,True,
fdiff_10_inter,420.95679739797345,135.6223254932976,0.46913580246913567,,True
fmax_10_ind,8005.014035948001,1787.552174998305,195.77137545948753,True,
fmax_10_inter,55.25104617217198,10.221991900436322,3.456790765596444,,True
fsum_10_ind,8147.634309290324,1816.4800262794554,197.99999999999991,True,
fsum_10_inter,22.997084330468766,5.47832572909549,0.048503269716178465,,True
