,total_utility,max_utility,min_utility,sharing_incentive,non_interference
uni_2_ind,7827.436035553213,9599.999999999998,-1772.5639644467853,False,
uni_2_inter,-1533.6768320768888,-1533.6768320768888,-1533.6768320768888,,False
fdiff_2_ind,1185.8132217576467,778.6686265516055,407.14459520604123,True,
fdiff_2_inter,448.8235743359935,448.8235743359935,448.8235743359935,,True
fmax_2_ind,6146.309014956459,5696.726978170436,449.5820367860222,True,
fmax_2_inter,580.9966967499936,580.9966967499936,580.9966967499936,,True
fsum_2_ind,7008.151278307954,6334.5511274841565,673.6001508237977,True,
fsum_2_inter,992.6830753316596,992.6830753316596,992.6830753316596,,True
uni_3_ind,23003.58747752192,11377.77777777778,248.03192196636292,True,
uni_3_inter,3555.5555555555547,1777.7777777777774,1777.7777777777774,,True
fdiff_3_ind,4416.087112367621,1513.7723049384094,1388.5425024908018,True,
fdiff_3_inter,1473.6834770361902,738.5797986493898,735.1036783868003,,True
fmax_3_ind,19312.749745712008,9080.28454907253,1152.1806475669478,True,
fmax_3_inter,3843.338073047646,3383.5575709020914,459.7805021455548,,True
fsum_3_ind,21901.110005193543,10322.54782757075,1256.014350052044,True,
fsum_3_inter,4327.592790679466,3987.996700086591,339.59609059287544,,True
uni_4_ind,24930.379108767735,11999.999999999998,-98.20041356506374,False,
uni_4_inter,1866.666666666667,622.2222222222223,622.2222222222223,,True
fdiff_4_ind,8032.7301923103,3307.6394193767137,613.8388873557499,True,
fdiff_4_inter,2844.4788144427184,1793.867114438308,-743.2554144338973,,False
fmax_4_ind,13608.83658410413,6015.214109921354,535.6844031335052,True,
fmax_4_inter,-6397.922942885595,-267.7820645832479,-3065.0704391511736,,False
fsum_4_ind,24139.70780501811,10978.47292969734,573.6657003822496,True,
fsum_4_inter,1506.6067212981054,655.9251021265927,194.75651704491995,,True
uni_5_ind,60791.45986797195,35135.99999999999,89.35923414066235,True,
uni_5_inter,1151.9999999999995,287.9999999999999,287.9999999999999,,True
fdiff_5_ind,40134.186449543064,25506.814119576775,334.97047256674546,True,
fdiff_5_inter,7021.561378451764,3568.8439707209445,-142.16310513287476,,False
fmax_5_ind,46113.26346826513,28254.598556702564,498.6833464105911,True,
fmax_5_inter,4676.747568254213,2217.7215992457604,63.43929557135981,,True
fsum_5_ind,59814.29257924906,34566.02328424694,510.59345851959,True,
fsum_5_inter,1535.4807307797855,710.1574636746027,37.36811043161417,,True
uni_6_ind,74270.10038756738,35583.33333333334,90.66848495470379,True,
uni_6_inter,1073.1111111111113,447.33333333333337,156.44444444444446,,True
fdiff_6_ind,54399.43481089904,28312.702881872872,404.81612219092705,True,
fdiff_6_inter,5991.891445136835,2805.888762296083,20.516238617104754,,True
fmax_6_ind,62342.47769188128,31242.641981921905,377.58861367720647,True,
fmax_6_inter,6451.540303831023,2988.043425219327,34.040460897018406,,True
fsum_6_ind,73420.11291120219,35276.890192669845,377.4308243147845,True,
fsum_6_inter,1561.3309602527572,710.8669084228891,21.972559425597524,,True
uni_7_ind,110942.1881350941,35853.0612244898,346.28421954579153,True,
uni_7_inter,741.383219954648,269.7278911564624,94.33106575963711,,True
fdiff_7_ind,73146.65543990892,25661.62520399834,446.0342685836599,True,
fdiff_7_inter,-6992.047878070744,15.554065551758622,-2651.077677874533,,False
fmax_7_ind,98577.4399857065,32527.83809568256,556.4413635387012,True,
fmax_7_inter,3629.4808950603738,1285.1961137606568,17.568081030044155,,True
fsum_7_ind,110121.4343915685,35634.85002967794,557.8693358028453,True,
fsum_7_inter,988.8281476060902,357.95983700809245,19.153842656610166,,True
uni_8_ind,124125.4038308119,36028.12499999999,286.092673730039,True,
uni_8_inter,656.2500000000009,175.06377551020432,61.22448979591846,,True
fdiff_8_ind,85923.75996987446,27019.49535937234,467.6005613115598,True,
fdiff_8_inter,5136.778909191102,1357.870155374012,7.361740349094411,,True
fmax_8_ind,112337.4241969143,33277.2330038701,448.3396777581876,True,
fmax_8_inter,2832.101695997444,749.3949081875517,13.314349831157237,,True
fsum_8_ind,123467.71271632868,35900.28921247497,442.49342846718145,True,
fsum_8_inter,993.2651953899888,265.4391827970476,6.040128276007145,,True
uni_9_ind,160811.70893666617,36148.14814814814,342.18207131086865,True,
uni_9_inter,491.8981481481478,120.02314814814804,41.97530864197529,,True
fdiff_9_ind,128826.65195453039,30092.13716209851,486.0805775309823,True,
fdiff_9_inter,12764.496012999462,3072.641802726169,4.365927280568146,,True
fmax_9_ind,150302.97352343588,34169.113600348144,469.71264110850194,True,
fmax_9_inter,3750.1769166154427,891.8805964780477,7.258874411459999,,True
fsum_9_ind,160196.5016735512,36048.04559697333,465.853871076277,True,
fsum_9_inter,634.4845506912188,147.75638449836322,9.246353670241199,,True
uni_10_ind,197640.96617050117,36233.99999999999,398.9278659815727,True,
uni_10_inter,437.70370370370364,85.85185185185185,30.024691358024683,,True
fdiff_10_ind,142137.65986442854,27366.433589739554,515.9515734612531,True,
fdiff_10_inter,-14212.979209972691,3.1498926175914654,-2725.7035723589534,,False
fmax_10_ind,187198.81725693797,34583.33477577457,501.7186147849401,True,
fmax_10_inter,2154.955427596262,414.2211754264299,5.284870363758781,,True
fsum_10_ind,197133.3795946205,36164.25461566188,497.197327566618,True,
fsum_10_inter,615.0697752761621,116.20901868854583,4.622353177661651,,True
