,0,1,2,3,4,5,6,7,8,9
ind_1,543.6117870309205,,,,,,,,,
uni_1,470.3969214554071,,,,,,,,,
fdiff_1,526.4495784143493,,,,,,,,,
fmax_1,334.79921067028374,,,,,,,,,
fsum_1,711.106037213722,,,,,,,,,
ind_2,413.75050452475375,12799.999999999998,,,,,,,,
uni_2,3199.9999999999995,3199.9999999999995,,,,,,,,
fdiff_2,759.6240594245156,12822.740639662457,,,,,,,,
fmax_2,738.0573991140278,12894.17886766523,,,,,,,,
fsum_2,324.39088201064294,8333.466023071258,,,,,,,,
ind_3,447.4400710551747,12800.000000000002,12800.000000000002,,,,,,,
uni_3,1422.2222222222222,1422.2222222222222,1422.2222222222222,,,,,,,
fdiff_3,197.2374219479248,12253.496364927416,12253.496364927416,,,,,,,
fmax_3,339.09576141306786,5373.557305269573,5373.557305269573,,,,,,,
fsum_3,186.92248541325196,3165.1012873127634,3165.1012873127634,,,,,,,
ind_4,554.3196615921375,12799.999999999998,12799.999999999998,199.9999999999998,,,,,,
uni_4,799.9999999999999,799.9999999999999,799.9999999999999,12.499999999999998,,,,,,
fdiff_4,172.4255969692989,7103.440889077066,7103.440889077066,12.500000000000007,,,,,,
fmax_4,183.79810977364178,6541.452370200617,6541.452370200617,12.499999999999996,,,,,,
fsum_4,115.58202704783105,1783.1095467878454,1783.1095467878454,12.499999999999996,,,,,,
ind_5,374.3405824862252,12799.999999999998,12799.999999999998,199.99999999999966,560.3186583031517,,,,,
uni_5,512.0,512.0,512.0,8.0,512.0,,,,,
fdiff_5,107.539863540577,4818.65744204134,4818.65744204134,8.000000000000016,107.539863540577,,,,,
fmax_5,119.50349188300703,4030.464682513315,4030.464682513315,7.999999999999999,119.50349188300703,,,,,
fsum_5,58.93305310037293,1343.9200368027507,1343.9200368027507,8.0,58.93305310037293,,,,,
ind_6,421.75832590194227,12800.000000000002,12800.000000000002,200.00000000000003,495.4695375119971,12800.000000000002,,,,
uni_6,355.55555555555554,355.55555555555554,355.55555555555554,5.555555555555555,355.55555555555554,355.55555555555554,,,,
fdiff_6,78.35983746646646,3138.347093109244,3138.347093109244,5.555555555555557,78.35983746646646,3138.347093109244,,,,
fmax_6,90.91207408994653,2792.1182797546785,2792.1182797546785,5.555555555555555,90.91207408994653,2792.1182797546785,,,,
fsum_6,47.20227448632521,837.0577492231812,837.0577492231812,5.5555555555555545,47.20227448632521,837.0577492231812,,,,
ind_7,743.4985643238183,12800.000000000002,12800.000000000002,200.0000000000001,590.4572349351841,12800.000000000002,12800.000000000002,,,
uni_7,261.22448979591843,261.22448979591843,261.22448979591843,4.0816326530612255,261.22448979591843,261.22448979591843,261.22448979591843,,,
fdiff_7,59.36141575642579,2256.0235085584454,2256.0235085584454,4.0816326530612255,59.36141575642579,2256.0235085584454,2256.0235085584454,,,
fmax_7,56.04350931955343,2137.6009462314837,2137.6009462314837,4.0816326530612335,56.04350931955343,2137.6009462314837,2137.6009462314837,,,
fsum_7,37.97490800408067,580.0093634932454,580.0093634932454,4.081632653061227,37.97490800408067,580.0093634932454,580.0093634932454,,,
ind_8,541.4905131542811,12799.999999999998,12799.999999999998,199.99999999999986,545.9210069435813,12799.999999999998,12799.999999999998,563.7978925664357,,
uni_8,199.99999999999997,199.99999999999997,199.99999999999997,3.1249999999999996,199.99999999999997,199.99999999999997,199.99999999999997,199.99999999999997,,
fdiff_8,45.87575936245106,1606.966406679005,1606.966406679005,3.1249999999999982,45.87575936245106,1606.966406679005,1606.966406679005,45.87575936245106,,
fmax_8,41.950242227682686,1606.7510088764554,1606.7510088764554,17.96939626989337,41.950242227682686,1606.7510088764554,1606.7510088764554,41.950242227682686,,
fsum_8,23.55878921411254,497.40077407815494,497.40077407815494,3.8980328058690312,23.55878921411254,497.40077407815494,497.40077407815494,23.55878921411254,,
ind_9,582.7304455076729,12799.999999999998,12799.999999999998,200.0,600.9807277504026,12799.999999999998,12799.999999999998,434.16668683338685,1608.7067557924006,
uni_9,158.02469135802468,158.02469135802468,158.02469135802468,2.4691358024691357,158.02469135802468,158.02469135802468,158.02469135802468,158.02469135802468,158.02469135802468,
fdiff_9,33.62597459885872,1485.270418944228,1485.270418944228,2.469135802469132,33.62597459885872,1485.270418944228,1485.270418944228,33.62597459885872,268.4900483463511,
fmax_9,29.307515601983056,1313.1758378146785,1313.1758378146785,15.618663315543964,29.307515601983056,1313.1758378146785,1313.1758378146785,29.307515601983056,164.40591148573688,
fsum_9,20.93202882011426,381.58500296693,381.58500296693,2.7802027420233135,20.93202882011426,381.58500296693,381.58500296693,20.93202882011426,55.92479723663306,
ind_10,492.30584849343245,12799.999999999998,12799.999999999998,199.9999999999999,568.7834960189435,12799.999999999998,12799.999999999998,481.1476131433481,1694.6888670526807,36599.99999999999
uni_10,128.0,128.0,128.0,2.0,128.0,128.0,128.0,128.0,128.0,366.0
fdiff_10,26.948198746204945,1121.8362416012951,1121.8362416012951,2.000000000000001,26.948198746204945,1121.8362416012951,1121.8362416012951,26.948198746204945,219.56915754934232,2118.0262194350344
fmax_10,22.138805899615733,1164.083806049608,1164.083806049608,14.276909362815928,22.138805899615733,1164.083806049608,1164.083806049608,22.138805899615733,151.77917663601775,2129.2857852754214
fsum_10,17.177725547583144,305.9376892711465,305.9376892711465,2.268071584860336,17.177725547583144,305.9376892711465,305.9376892711465,17.177725547583144,45.23356984733509,563.8841500611832
names,Total,Identity,Identity,white,Total,Identity,Identity,Total,race1,race2
